C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\layers\__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\layers\__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\layers\__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\layers\__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\layers\__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\layers\__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
C:\Users\ADITYA GUPTA\Downloads\DEP_main\SkyWatch\backend\venv\lib\site-packages\timm\models\registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
[StreamProcessor] Local file source: ..\media\videos\droneVid.mp4  loop=True
[StreamProcessor] Target FPS: 5  Model: sdnet
[SDNet] Loading model on cuda...
[SDNet] Model loaded successfully.
[StreamProcessor] Stream opened successfully.
Frame 1: Headcount 22.4 -> 200
Frame 2: Headcount 22.1 -> 200
Frame 3: Headcount 22.5 -> 200
Frame 4: Headcount 22.7 -> 200
Frame 5: Headcount 22.5 -> 200
Frame 6: Headcount 25.5 -> 200
Frame 7: Headcount 25.7 -> 200
Frame 8: Headcount 26.4 -> 200
Frame 9: Headcount 26.6 -> 200
Frame 10: Headcount 26.4 -> 200
Frame 11: Headcount 26.9 -> 200
Frame 12: Headcount 26.6 -> 200
Frame 13: Headcount 26.8 -> 200
Frame 14: Headcount 26.5 -> 200
Frame 15: Headcount 26.5 -> 200
Frame 16: Headcount 26.4 -> 200
Frame 17: Headcount 26.3 -> 200
Frame 18: Headcount 27.5 -> 200
Frame 19: Headcount 27.5 -> 200
Frame 20: Headcount 27.2 -> 200
Frame 21: Headcount 26.1 -> 200
Frame 22: Headcount 26.1 -> 200
Frame 23: Headcount 25.0 -> 200
Frame 24: Headcount 25.2 -> 200
Frame 25: Headcount 25.8 -> 200
Frame 26: Headcount 23.6 -> 200
Frame 27: Headcount 23.6 -> 200
Frame 28: Headcount 24.1 -> 200
Frame 29: Headcount 24.2 -> 200
Frame 30: Headcount 23.7 -> 200
Frame 31: Headcount 24.4 -> 200
Frame 32: Headcount 24.2 -> 200
Frame 33: Headcount 25.8 -> 200
Frame 34: Headcount 25.2 -> 200
Frame 35: Headcount 25.3 -> 200
Frame 36: Headcount 24.8 -> 200
Frame 37: Headcount 24.6 -> 200
Frame 38: Headcount 23.4 -> 200
Frame 39: Headcount 23.3 -> 200
Frame 40: Headcount 23.6 -> 200
Frame 41: Headcount 24.5 -> 200
Frame 42: Headcount 25.0 -> 200
Frame 43: Headcount 25.1 -> 200
Frame 44: Headcount 25.4 -> 200
Frame 45: Headcount 25.3 -> 200
Frame 46: Headcount 27.5 -> 200
Frame 47: Headcount 27.5 -> 200
Frame 48: Headcount 30.8 -> 200
Frame 49: Headcount 30.8 -> 200
Frame 50: Headcount 30.7 -> 200
Frame 51: Headcount 28.7 -> 200
Frame 52: Headcount 28.7 -> 200
Frame 53: Headcount 29.0 -> 200
Frame 54: Headcount 28.5 -> 200
Frame 55: Headcount 28.7 -> 200
Frame 56: Headcount 24.9 -> 200
Frame 57: Headcount 25.0 -> 200
Frame 58: Headcount 25.9 -> 200
Frame 59: Headcount 25.9 -> 200
Frame 60: Headcount 25.6 -> 200
Frame 61: Headcount 24.3 -> 200
Frame 62: Headcount 24.2 -> 200
Frame 63: Headcount 25.7 -> 200
Frame 64: Headcount 26.0 -> 200
Frame 65: Headcount 25.7 -> 200
Frame 66: Headcount 27.1 -> 200
Frame 67: Headcount 27.4 -> 200
Frame 68: Headcount 29.1 -> 200
Frame 69: Headcount 29.4 -> 200
Frame 70: Headcount 28.7 -> 200
Frame 71: Headcount 26.3 -> 200
Frame 72: Headcount 26.2 -> 200
Frame 73: Headcount 26.2 -> 200
Frame 74: Headcount 26.2 -> 200
Frame 75: Headcount 26.4 -> 200
Frame 76: Headcount 26.7 -> 200
Frame 77: Headcount 26.9 -> 200
Frame 78: Headcount 26.9 -> 200
Frame 79: Headcount 27.0 -> 200
Frame 80: Headcount 26.9 -> 200
