frame_index,headcount,headcount_density
0,38,34.02
1,37,33.96
2,36,32.83
3,34,33.01
4,35,33.31
5,31,30.97
6,31,30.92
7,35,32.94
8,33,32.60
9,36,33.21
10,36,32.92
11,34,32.18
12,38,33.41
13,38,34.37
14,37,33.81
15,39,34.21
16,39,34.23
17,39,36.94
18,38,37.35
19,38,37.02
20,37,33.55
21,37,33.09
22,35,34.88
23,35,34.95
24,35,35.20
25,37,34.76
26,37,34.61
27,34,32.96
28,34,32.91
29,35,32.74
30,32,31.84
31,33,31.84
32,37,35.05
33,37,34.82
34,36,34.89
35,33,32.58
36,33,32.70
37,33,31.66
38,34,31.22
39,33,31.90
40,33,33.06
41,33,33.31
42,34,34.38
43,35,34.47
44,35,34.28
45,34,33.42
46,35,33.19
47,34,32.13
48,33,32.04
49,33,32.20
50,32,32.03
51,32,32.31
52,32,34.16
53,32,34.07
54,32,34.17
55,31,30.31
56,32,29.76
57,32,28.85
58,32,28.34
59,32,28.89
60,32,28.90
61,32,28.74
62,26,24.92
63,27,25.35
64,27,25.09
65,24,23.86
66,24,23.39
67,23,23.92
68,23,23.88
69,24,24.43
70,26,26.72
71,26,26.69
72,29,28.03
73,29,27.86
74,29,27.81
75,29,26.75
76,28,26.38
77,33,28.46
78,35,28.36
79,33,28.26
80,34,29.74
81,32,29.00
82,34,28.97
83,32,29.21
84,34,28.69
85,30,30.51
86,30,30.64
87,32,31.09
88,32,30.60
89,31,30.65
90,29,30.20
91,30,30.59
92,36,33.40
93,34,33.61
94,35,33.83
95,34,33.68
96,33,33.78
97,31,32.27
98,32,32.23
99,33,32.66
100,34,29.89
101,34,30.01
102,31,29.51
103,34,29.34
104,32,29.55
105,35,32.49
106,34,32.60
107,35,34.33
108,35,34.04
109,35,33.99
110,38,34.51
111,37,34.32
112,36,35.15
113,34,35.38
114,35,34.93
115,33,33.82
116,33,33.86
117,34,34.91
118,35,35.09
119,33,35.12
120,32,34.24
121,32,34.15
122,34,34.23
123,33,34.46
124,33,34.59
125,32,34.07
126,32,33.87
127,37,36.46
128,37,36.32
129,37,35.94
130,39,35.84
131,39,36.24
132,39,36.49
133,38,36.23
134,38,36.05
135,31,32.52
136,32,31.94
137,29,28.54
138,29,28.43
139,31,28.68
140,28,28.06
141,28,28.15
142,33,31.37
143,32,30.87
144,32,30.74
145,34,31.54
146,33,31.17
147,34,32.62
148,32,32.75
149,34,32.79
150,30,30.29
151,30,30.40
152,33,31.02
153,32,31.07
154,33,31.33
155,36,32.17
156,35,31.92
157,38,32.74
158,38,32.68
159,37,32.39
160,39,35.51
161,39,35.74
162,36,32.46
163,35,32.88
164,35,32.74
165,39,34.66
166,39,33.82
167,38,33.78
168,38,33.77
169,37,34.18
170,36,34.02
171,36,34.20
172,38,34.01
173,37,33.84
174,37,34.03
175,35,33.00
176,36,32.83
177,37,34.24
178,37,34.34
179,37,34.35
180,33,34.24
181,33,34.58
182,38,34.76
183,37,34.12
184,38,34.64
185,34,32.23
186,35,32.48
187,40,33.93
188,39,33.59
189,39,33.42
190,35,30.18
191,35,30.46
192,37,31.43
193,36,32.06
194,36,32.21
195,35,31.51
196,34,30.94
197,32,29.89
198,32,29.59
199,32,29.49
200,31,28.03
201,31,28.91
202,31,27.95
203,31,28.04
204,31,27.96
205,28,26.19
206,29,26.46
207,29,26.10
208,29,26.34
209,30,26.41
210,29,25.47
211,28,25.22
212,29,26.05
213,30,26.55
214,30,26.60
215,28,25.98
216,27,25.90
217,29,24.42
218,30,24.39
219,27,23.92
220,28,25.16
221,28,26.12
222,29,25.41
223,28,25.98
224,28,26.02
225,23,22.33
226,23,22.50
227,24,23.18
228,24,23.04
229,24,23.59
230,27,24.75
231,27,25.01
232,29,26.11
233,27,26.29
234,26,25.98
235,26,25.71
236,26,25.79
237,25,24.15
238,25,24.06
239,26,24.56
240,27,24.56
241,25,24.65
242,28,26.89
243,28,27.18
244,29,27.40
245,28,26.18
246,28,25.94
247,27,26.66
248,26,26.64
249,28,26.86
250,30,27.02
251,30,27.22
252,26,23.75
253,26,23.45
254,27,23.71
255,25,21.88
256,25,21.91
257,24,21.52
258,24,21.66
259,24,21.58
260,23,21.33
261,23,21.03
262,25,23.39
263,25,23.03
264,25,22.79
265,27,22.70
266,27,22.47
267,26,24.11
268,25,24.48
269,25,23.94
270,26,23.55
271,26,23.25
272,25,23.86
273,25,24.03
274,26,24.31
275,27,24.29
276,28,24.01
277,26,24.56
278,26,24.55
