altitude_m,arbitration_mode,capture_time_s,conflict_overrides,conflict_pixels,correction_mag_m,correction_x_m,correction_y_m,deadline_miss,deadline_slack_ms,decode_ms,downscale_ms,downscaled,drift_mag_m,drift_name,drift_x_m,drift_y_m,edge_residual_after_m,edge_residual_before_m,eval_pose_error_m,feature_type,feed_success,file_size_bytes,frame,gsd_proxy_m_px,img_h,img_w,inter_frame_interval_s,iou,mapping_ms,memory_bytes,memory_mb,new_pixels,nonconflict_replacements,optimization_ms,optimizer_edges,prep_ms,proc_h,proc_w,raw_pose_error_m,tile_count,total_ms,use_optimizer,variant
142.093,basic,1766396512.0,0,0,0.0,0.0,0.0,0,0.0,140.02430002437904,24.03609998873435,True,0.0,bias_3m,0.0,0.0,0.0,0.0,0.0,none,1,6565888,0,71.0465,3000,4000,0.0,0.0,108.78509999020025,33030144,31.5,181098,0,0.0,0,0.0,1500,2000,0.0,4,273.1369999819435,0,raw_basic
142.156,basic,1766396514.0,0,0,0.0,0.0,0.0,0,1836.828700004844,124.0162999893073,4.885000002104789,True,0.013243512562760682,bias_3m,0.0125,0.0043749999999999995,0.0,0.0,0.01324351256276069,none,1,6606848,1,71.078,3000,4000,2.0,0.9524816067997264,34.04860000591725,33030144,31.5,185245,89248,0.0,0,0.0,1500,2000,0.01324351256276069,4,163.171299995156,0,raw_basic
142.123,basic,1766396516.0,0,0,0.0,0.0,0.0,0,1859.3776999914553,114.29440000210889,4.464500001631677,True,0.026487025125521365,bias_3m,0.025,0.008749999999999999,0.0,0.0,0.026487025125521077,none,1,6615040,2,71.0615,3000,4000,2.0,0.8422541034551714,21.61090000299737,33030144,31.5,201155,172290,0.0,0,0.0,1500,2000,0.026487025125521077,4,140.6223000085447,0,raw_basic
142.206,basic,1766396518.0,0,0,0.0,0.0,0.0,0,1866.910300013842,108.80280000856146,3.6844999995082617,True,0.039730537688282046,bias_3m,0.037500000000000006,0.013124999999999998,0.0,0.0,0.0397305376882828,none,1,6582272,3,71.103,3000,4000,2.0,0.7665625921295401,20.297700015362352,33030144,31.5,224869,250516,0.0,0,0.0,1500,2000,0.0397305376882828,4,133.08969998615794,0,raw_basic
142.203,basic,1766396520.0,0,0,0.0,0.0,0.0,0,1861.425600014627,113.92890001297928,3.46989999525249,True,0.05297405025104273,bias_3m,0.05,0.017499999999999998,0.0,0.0,0.052974050251042154,none,1,6524928,4,71.1015,3000,4000,2.0,0.7203401262601367,20.95310000004247,33030144,31.5,254323,326278,0.0,0,0.0,1500,2000,0.052974050251042154,4,138.57439998537302,0,raw_basic
142.181,basic,1766396522.0,0,0,0.0,0.0,0.0,0,1858.247099997243,117.3492000089027,3.7788000190630555,True,0.06621756281380341,bias_3m,0.0625,0.021875,0.0,0.0,0.06621756281380153,none,1,6455296,5,71.0905,3000,4000,2.0,0.6962178549745137,20.369700010633096,33030144,31.5,286418,400615,0.0,0,0.0,1500,2000,0.06621756281380153,4,141.7529000027571,0,raw_basic
142.144,basic,1766396524.0,0,0,0.0,0.0,0.0,0,1856.5588000055868,118.142599996645,3.774199984036386,True,0.07946107537656409,bias_3m,0.07500000000000001,0.026249999999999996,0.0,0.0,0.07946107537656555,none,1,6352896,6,71.072,3000,4000,2.0,0.6795649457056516,21.27009999821894,33030144,31.5,320425,474052,0.0,0,0.0,1500,2000,0.07946107537656555,4,143.44119999441318,0,raw_basic
142.201,basic,1766396526.0,0,0,0.0,0.0,0.0,0,1865.1420999958646,107.9996999760624,3.637100016931072,True,0.09270458793932478,bias_3m,0.0875,0.030625,0.0,0.0,0.0927045879393203,none,1,6324224,7,71.1005,3000,4000,2.0,0.6802761381558053,22.965299984207377,33030144,31.5,354905,547670,0.0,0,0.0,1500,2000,0.0927045879393203,4,134.85790000413544,0,raw_basic
142.23,basic,1766396528.0,0,0,0.0,0.0,0.0,0,1850.6652000069153,122.24739999510348,3.3173999981954694,True,0.10594810050208546,bias_3m,0.1,0.034999999999999996,0.0,0.0,0.10594810050208431,none,1,6492160,8,71.115,3000,4000,2.0,0.6822237679026822,23.505199991632253,49545216,47.25,389167,621453,0.0,0,0.0,1500,2000,0.10594810050208431,6,149.33479999308474,0,raw_basic
142.287,basic,1766396530.0,0,0,0.0,0.0,0.0,0,1859.9672999989707,114.46869999053888,4.177399998297915,True,0.11919161306484613,bias_3m,0.11249999999999999,0.039375,0.0,0.0,0.11919161306484843,none,1,6692864,9,71.1435,3000,4000,2.0,0.6826194238929354,21.162899996852502,49545216,47.25,423248,695786,0.0,0,0.0,1500,2000,0.11919161306484843,6,140.0327000010293,0,raw_basic
142.197,basic,1766396532.0,0,0,0.0,0.0,0.0,0,1865.3925999824423,110.44150000088848,3.5752000112552196,True,0.13243512562760681,bias_3m,0.125,0.04375,0.0,0.0,0.13243512562760307,none,1,6656000,10,71.0985,3000,4000,2.0,0.6830487045375088,20.292899978812784,49545216,47.25,457014,769599,0.0,0,0.0,1500,2000,0.13243512562760307,6,134.60740001755767,0,raw_basic
142.206,basic,1766396534.0,0,0,0.0,0.0,0.0,0,1861.6785999911372,114.47559998487122,3.938600013498217,True,0.1456786381903675,bias_3m,0.13749999999999998,0.048125,0.0,0.0,0.1456786381903765,none,1,6615040,11,71.103,3000,4000,2.0,0.6791033887666724,19.68609998584725,49545216,47.25,491349,842921,0.0,0,0.0,1500,2000,0.1456786381903765,6,138.32140000886284,0,raw_basic
142.138,basic,1766396536.0,0,0,0.0,0.0,0.0,0,1872.6004000054672,104.2996000032872,4.074800002854317,True,0.15892215075312818,bias_3m,0.15000000000000002,0.05249999999999999,0.0,0.0,0.1589221507531311,none,1,6332416,12,71.069,3000,4000,2.0,0.6842750395473389,18.784200015943497,49545216,47.25,524995,916508,0.0,0,0.0,1500,2000,0.1589221507531311,6,127.39959999453276,0,raw_basic
142.176,basic,1766396538.0,0,0,0.0,0.0,0.0,0,1869.8936000000685,106.49919998832047,3.2937999931164086,True,0.17216566331588887,bias_3m,0.1625,0.056875,0.0,0.0,0.17216566331588595,none,1,6152192,13,71.088,3000,4000,2.0,0.6792181098832275,20.092399994609877,49545216,47.25,559635,989682,0.0,0,0.0,1500,2000,0.17216566331588595,6,130.10639999993145,0,raw_basic
