altitude_m,arbitration_mode,capture_time_s,conflict_overrides,conflict_pixels,correction_mag_m,correction_x_m,correction_y_m,deadline_miss,deadline_slack_ms,decode_ms,downscale_ms,downscaled,drift_mag_m,drift_name,drift_x_m,drift_y_m,edge_residual_after_m,edge_residual_before_m,eval_pose_error_m,feature_type,feed_success,file_size_bytes,frame,gsd_proxy_m_px,img_h,img_w,inter_frame_interval_s,iou,mapping_ms,memory_bytes,memory_mb,new_pixels,nonconflict_replacements,optimization_ms,optimizer_edges,prep_ms,proc_h,proc_w,raw_pose_error_m,tile_count,total_ms,use_optimizer,variant
142.093,basic,1766396512.0,0,0,0.0,0.0,0.0,0,0.0,86.12449999782257,10.897400003159419,True,0.2987480702172108,gaussian_1m,0.0012301533574825742,0.2987455375084699,0.0,0.0,0.2987480702172108,none,1,6565888,0,71.0465,3000,4000,0.0,0.0,71.54219999210909,33030144,31.5,181313,0,0.0,0,0.0,1500,2000,0.2987480702172108,4,168.7433000188321,0,raw_basic
142.156,basic,1766396514.0,0,0,0.0,0.0,0.0,0,1898.281700006919,78.62860002205707,4.410900000948459,True,0.931829054603718,gaussian_1m,-0.2741378553622176,-0.8905918387572742,0.0,0.0,0.9318290546037178,none,1,6606848,1,71.078,3000,4000,2.0,0.9382342444815697,18.4607999981381,33030144,31.5,187237,90057,0.0,0,0.0,1500,2000,0.9318290546037178,4,101.71829999308102,0,raw_basic
142.123,basic,1766396516.0,0,0,0.0,0.0,0.0,0,1899.1890999895986,79.67179999104701,4.597599996486679,True,1.0909117347086439,gaussian_1m,-0.45467078517172255,-0.9916465549964624,0.0,0.0,1.0909117347086454,none,1,6615040,2,71.0615,3000,4000,2.0,0.8399102786871134,16.372900019632652,33030144,31.5,203010,171801,0.0,0,0.0,1500,2000,1.0909117347086454,4,100.81090001040138,0,raw_basic
142.206,basic,1766396518.0,0,0,0.0,0.0,0.0,0,1899.6783000184223,79.75869998335838,4.5439999958034605,True,1.3415640712803087,gaussian_1m,0.060143602597438485,1.3402152455545335,0.0,0.0,1.3415640712803072,none,1,6582272,3,71.103,3000,4000,2.0,0.7886538780288741,15.851300006033853,33030144,31.5,223799,251850,0.0,0,0.0,1500,2000,1.3415640712803072,4,100.3216999815777,0,raw_basic
142.203,basic,1766396520.0,0,0,0.0,0.0,0.0,0,1899.6055999887176,78.42560001881793,4.352199990535155,True,0.7919951756235548,gaussian_1m,-0.49220651855132963,-0.6204748998199404,0.0,0.0,0.7919951756235539,none,1,6524928,4,71.1015,3000,4000,2.0,0.6992930553494436,17.4430999904871,33030144,31.5,255726,326828,0.0,0,0.0,1500,2000,0.7919951756235539,4,100.39440001128241,0,raw_basic
142.181,basic,1766396522.0,0,0,0.0,0.0,0.0,0,1896.7445000016596,82.2111000015866,4.0237999928649515,True,0.6060639988673453,gaussian_1m,0.4898420501851982,0.35688700816006075,0.0,0.0,0.6060639988673436,none,1,6455296,5,71.0905,3000,4000,2.0,0.7025515068917144,16.829100000904873,33030144,31.5,286942,401494,0.0,0,0.0,1500,2000,0.6060639988673436,4,103.25549999834038,0,raw_basic
142.144,basic,1766396524.0,0,0,0.0,0.0,0.0,0,1897.3766999843065,78.10620000236668,4.753699991852045,True,0.936420282840403,gaussian_1m,0.10541424899789856,-0.9304680447082047,0.0,0.0,0.9364202828404047,none,1,6352896,6,71.072,3000,4000,2.0,0.666257536490616,19.57370000309311,33030144,31.5,322360,473954,0.0,0,0.0,1500,2000,0.9364202828404047,4,102.62330001569353,0,raw_basic
142.201,basic,1766396526.0,0,0,0.0,0.0,0.0,0,1896.3163000007626,82.13780002552085,4.4643000001087785,True,0.6959182432881915,gaussian_1m,-0.02925182246327349,0.6953031944582878,0.0,0.0,0.6959182432881941,none,1,6324224,7,71.1005,3000,4000,2.0,0.6943627586145222,16.897199995582923,33030144,31.5,355254,548015,0.0,0,0.0,1500,2000,0.6959182432881941,4,103.68369999923743,0,raw_basic
142.23,basic,1766396528.0,0,0,0.0,0.0,0.0,0,1899.3758999858983,76.71559997834265,4.86270000692457,True,1.4199735680234529,gaussian_1m,-1.344214547285082,-0.45761576104021817,0.0,0.0,1.4199735680234524,none,1,6492160,8,71.115,3000,4000,2.0,0.665342721236088,18.870400002924725,49545216,47.25,391254,620769,0.0,0,0.0,1500,2000,1.4199735680234524,6,100.62410001410171,0,raw_basic
142.287,basic,1766396530.0,0,0,0.0,0.0,0.0,0,1900.865800009342,78.03299999795854,4.466600017622113,True,2.2972930785308114,gaussian_1m,-1.901222739800844,-1.289537739784976,0.0,0.0,2.297293078530811,none,1,6692864,9,71.1435,3000,4000,2.0,0.6721891129056946,16.462500003399327,49545216,47.25,426905,694286,0.0,0,0.0,1500,2000,2.297293078530811,6,99.13419999065809,0,raw_basic
