altitude_m,arbitration_mode,capture_time_s,conflict_overrides,conflict_pixels,correction_mag_m,correction_x_m,correction_y_m,deadline_miss,deadline_slack_ms,decode_ms,downscale_ms,downscaled,drift_mag_m,drift_name,drift_x_m,drift_y_m,edge_residual_after_m,edge_residual_before_m,eval_pose_error_m,feature_type,feed_success,file_size_bytes,frame,gsd_proxy_m_px,img_h,img_w,inter_frame_interval_s,iou,mapping_ms,memory_bytes,memory_mb,new_pixels,nonconflict_replacements,optimization_ms,optimizer_edges,prep_ms,proc_h,proc_w,raw_pose_error_m,tile_count,total_ms,use_optimizer,variant
120.143,basic,1766394153.0,0,0,0.0,0.0,0.0,0,0.0,113.63170002005063,5.586000013863668,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5578752,0,60.0715,3000,4000,0.0,0.0,94.85090000089258,33030144,31.5,130178,0,0.0,0,0.0,1500,2000,0.0,4,214.28429998923093,0,raw_basic
120.146,basic,1766394155.0,0,0,0.0,0.0,0.0,0,1858.3644999889657,118.06660000002012,5.762200016761199,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5595136,1,60.073,3000,4000,2.0,0.9638311453443759,17.498200002592057,33030144,31.5,132488,60261,0.0,0,0.0,1500,2000,0.0,4,141.6355000110343,0,raw_basic
120.128,basic,1766394157.0,0,0,0.0,0.0,0.0,0,1870.47990001156,107.25279999314807,5.619600007776171,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5582848,2,60.064,3000,4000,2.0,0.8667822575638069,16.01610000943765,33030144,31.5,141532,120472,0.0,0,0.0,1500,2000,0.0,4,129.52009998844005,0,raw_basic
120.083,basic,1766394158.0,0,0,0.0,0.0,0.0,0,868.7707000062801,111.0346999776084,3.582100005587563,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5619712,3,60.0415,3000,4000,1.0,0.790585511826315,16.13940001698211,33030144,31.5,156526,177508,0.0,0,0.0,1500,2000,0.0,4,131.2292999937199,0,raw_basic
120.158,basic,1766394160.0,0,0,0.0,0.0,0.0,0,1872.8572000109125,109.79329998372123,3.623099997639656,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5636096,4,60.079,3000,4000,2.0,0.7401223942435675,13.475399988237768,33030144,31.5,176205,232340,0.0,0,0.0,1500,2000,0.0,4,127.14279998908751,0,raw_basic
120.158,basic,1766394162.0,0,0,0.0,0.0,0.0,0,1879.7960999945644,101.73620001296513,3.596599999582395,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5713920,5,60.079,3000,4000,2.0,0.7084984603730176,14.62490000994876,33030144,31.5,197984,285767,0.0,0,0.0,1500,2000,0.0,4,120.20390000543557,0,raw_basic
120.167,basic,1766394163.0,0,0,0.0,0.0,0.0,0,877.2209000017028,105.43039999902248,3.7964000075589865,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5566464,6,60.0835,3000,4000,1.0,0.6915105311212251,13.34639999549836,33030144,31.5,221475,338889,0.0,0,0.0,1500,2000,0.0,4,122.77909999829717,0,raw_basic
120.126,basic,1766394165.0,0,0,0.0,0.0,0.0,0,1884.246500005247,97.51829999731854,3.9630999963264912,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5476352,7,60.063,3000,4000,2.0,0.6778514035684112,14.028500008862466,33030144,31.5,246108,391026,0.0,0,0.0,1500,2000,0.0,4,115.75349999475293,0,raw_basic
120.174,basic,1766394167.0,0,0,0.0,0.0,0.0,0,1882.1243999991566,99.92010000860319,3.8944999978411943,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5521408,8,60.087,3000,4000,2.0,0.67973317736608,13.77879999927245,33030144,31.5,270549,443285,0.0,0,0.0,1500,2000,0.0,4,117.8756000008434,0,raw_basic
120.393,basic,1766394168.0,0,0,0.0,0.0,0.0,0,880.2243999962229,101.14439998869784,4.010100004961714,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5709824,9,60.1965,3000,4000,1.0,0.6811743915859878,14.394900004845113,33030144,31.5,295891,496018,0.0,0,0.0,1500,2000,0.0,4,119.77560000377707,0,raw_basic
