altitude_m,arbitration_mode,capture_time_s,conflict_overrides,conflict_pixels,correction_mag_m,correction_x_m,correction_y_m,deadline_miss,deadline_slack_ms,decode_ms,downscale_ms,downscaled,drift_mag_m,drift_name,drift_x_m,drift_y_m,edge_residual_after_m,edge_residual_before_m,eval_pose_error_m,feature_type,feed_success,file_size_bytes,frame,gsd_proxy_m_px,img_h,img_w,inter_frame_interval_s,iou,mapping_ms,memory_bytes,memory_mb,new_pixels,nonconflict_replacements,optimization_ms,optimizer_edges,prep_ms,proc_h,proc_w,raw_pose_error_m,tile_count,total_ms,use_optimizer,variant
120.143,view_aware,1766394153.0,0,0,0.0,0.0,0.0,0,0.0,72.56749999942258,5.5401999852620065,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5578752,0,60.0715,3000,4000,0.0,0.0,61.67749999440275,33030144,31.5,130178,0,0.0,0,0.0,1500,2000,0.0,4,139.98479998554103,0,raw_view
120.146,view_aware,1766394155.0,0,0,0.0,0.0,0.0,0,1912.009500025306,71.95879999198951,4.074099997524172,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5595136,1,60.073,3000,4000,2.0,0.9638311453443759,11.762599984649569,33030144,31.5,132488,60261,0.0,0,0.0,1500,2000,0.0,4,87.9904999746941,0,raw_view
120.128,view_aware,1766394157.0,0,0,0.0,0.0,0.0,0,1908.7830999924336,74.71190000069328,4.75149997510016,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5582848,2,60.064,3000,4000,2.0,0.8667822575638069,11.58900000154972,33030144,31.5,141532,120472,0.0,0,0.0,1500,2000,0.0,4,91.21690000756644,0,raw_view
120.083,view_aware,1766394158.0,0,0,0.0,0.0,0.0,0,909.7516000038013,74.68099999823608,4.351099982159212,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5619712,3,60.0415,3000,4000,1.0,0.790585511826315,11.047500011045486,33030144,31.5,156526,177508,0.0,0,0.0,1500,2000,0.0,4,90.24839999619871,0,raw_view
120.158,view_aware,1766394160.0,0,0,0.0,0.0,0.0,0,1909.9869999918155,74.09890001872554,4.481700016185641,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5636096,4,60.079,3000,4000,2.0,0.7401223942435675,11.26910001039505,33030144,31.5,176205,232340,0.0,0,0.0,1500,2000,0.0,4,90.01300000818446,0,raw_view
120.158,view_aware,1766394162.0,0,0,0.0,0.0,0.0,0,1909.8916000220925,74.91520000621676,4.078400001162663,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5713920,5,60.079,3000,4000,2.0,0.7084984603730176,10.945599991828203,33030144,31.5,197984,285767,0.0,0,0.0,1500,2000,0.0,4,90.10839997790754,0,raw_view
120.167,view_aware,1766394163.0,0,0,0.0,0.0,0.0,0,908.8800000026822,74.68339998740703,4.497400019317865,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5566464,6,60.0835,3000,4000,1.0,0.6915105311212251,11.777999985497445,33030144,31.5,221475,338889,0.0,0,0.0,1500,2000,0.0,4,91.11999999731779,0,raw_view
120.126,view_aware,1766394165.0,0,0,0.0,0.0,0.0,0,1910.812000016449,73.4863999823574,4.3920000025536865,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5476352,7,60.063,3000,4000,2.0,0.6778514035684112,11.142000003019348,33030144,31.5,246108,391026,0.0,0,0.0,1500,2000,0.0,4,89.18799998355098,0,raw_view
120.174,view_aware,1766394167.0,0,0,0.0,0.0,0.0,0,1910.0068999978248,73.97200001287274,4.377600009320304,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5521408,8,60.087,3000,4000,2.0,0.67973317736608,11.48090002243407,33030144,31.5,270549,443285,0.0,0,0.0,1500,2000,0.0,4,89.9931000021752,0,raw_view
120.393,view_aware,1766394168.0,0,0,0.0,0.0,0.0,0,909.7177000076044,74.46219999110326,4.425399994943291,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5709824,9,60.1965,3000,4000,1.0,0.6811743915859878,11.229299998376518,33030144,31.5,295891,496018,0.0,0,0.0,1500,2000,0.0,4,90.28229999239556,0,raw_view
120.304,view_aware,1766394170.0,0,0,0.0,0.0,0.0,0,1905.1212000194937,76.46650000242516,4.1668000048957765,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5844992,10,60.152,3000,4000,2.0,0.6808059607441712,14.078800013521686,49545216,47.25,320006,548489,0.0,0,0.0,1500,2000,0.0,6,94.8787999805063,0,raw_view
120.105,view_aware,1766394172.0,0,0,0.0,0.0,0.0,0,1908.9847000141162,74.79220000095665,4.268399992724881,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5926912,11,60.0525,3000,4000,2.0,0.6812938935799916,11.796000006143004,49545216,47.25,344084,601177,0.0,0,0.0,1500,2000,0.0,6,91.01529998588376,0,raw_view
120.158,view_aware,1766394174.0,0,0,0.0,0.0,0.0,0,1905.5854000034742,77.76539999758825,4.435999988345429,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6057984,12,60.079,3000,4000,2.0,0.6942542867669391,12.03349998104386,49545216,47.25,367550,654802,0.0,0,0.0,1500,2000,0.0,6,94.4145999965258,0,raw_view
120.162,view_aware,1766394175.0,0,0,0.0,0.0,0.0,0,906.7933000042103,76.84159997734241,4.470500018214807,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5951488,13,60.081,3000,4000,1.0,0.6827895192423559,11.708899983204901,49545216,47.25,391519,707460,0.0,0,0.0,1500,2000,0.0,6,93.20669999578968,0,raw_view
120.209,view_aware,1766394177.0,0,0,0.0,0.0,0.0,0,1907.0342000050005,76.43529999768361,4.159000003710389,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5931008,14,60.1045,3000,4000,2.0,0.6812300680857638,12.204800004838035,49545216,47.25,416085,759521,0.0,0,0.0,1500,2000,0.0,6,92.96579999499954,0,raw_view
120.148,view_aware,1766394179.0,0,0,0.0,0.0,0.0,0,1907.5635000190232,76.82699998258613,4.301400011172518,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5980160,15,60.074,3000,4000,2.0,0.6800369651998358,11.133799998788163,49545216,47.25,440824,812182,0.0,0,0.0,1500,2000,0.0,6,92.4364999809768,0,raw_view
120.217,view_aware,1766394180.0,0,0,0.0,0.0,0.0,0,907.382300007157,76.42070000292733,4.332899989094585,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5853184,16,60.1085,3000,4000,1.0,0.6781984819666397,11.701099982019514,49545216,47.25,465619,864656,0.0,0,0.0,1500,2000,0.0,6,92.61769999284297,0,raw_view
120.23,view_aware,1766394182.0,0,0,0.0,0.0,0.0,0,1908.704699977534,75.07900000200607,4.595599981257692,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5746688,17,60.115,3000,4000,2.0,0.6812750089029712,11.449299985542893,49545216,47.25,490066,916840,0.0,0,0.0,1500,2000,0.0,6,91.29530002246611,0,raw_view
120.171,view_aware,1766394184.0,0,0,0.0,0.0,0.0,0,1909.2821999802254,75.22520000929944,4.460199997993186,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5656576,18,60.0855,3000,4000,2.0,0.6839371276977504,10.863599978620186,49545216,47.25,514164,969505,0.0,0,0.0,1500,2000,0.0,6,90.71780001977459,0,raw_view
120.113,view_aware,1766394185.0,0,0,0.0,0.0,0.0,0,910.0553999887779,74.0747999807354,4.439399985130876,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5586944,19,60.0565,3000,4000,1.0,0.6767133019249779,11.267000023508444,49545216,47.25,539127,1021351,0.0,0,0.0,1500,2000,0.0,6,89.94460001122206,0,raw_view
120.104,view_aware,1766394187.0,0,0,0.0,0.0,0.0,0,1906.7564999859314,75.2238999994006,4.271300014806911,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5595136,20,60.052,3000,4000,2.0,0.681765243868743,13.587199995527044,66060288,63.0,563170,1073971,0.0,0,0.0,1500,2000,0.0,8,93.24350001406856,0,raw_view
120.092,view_aware,1766394189.0,0,0,0.0,0.0,0.0,0,1908.6020999820903,75.05569999921136,4.565499984892085,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5709824,21,60.046,3000,4000,2.0,0.6851052752013299,11.612399976002052,66060288,63.0,587397,1127187,0.0,0,0.0,1500,2000,0.0,8,91.3979000179097,0,raw_view
120.066,view_aware,1766394190.0,0,0,0.0,0.0,0.0,0,909.3295999919064,72.26879999507219,4.200499999569729,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5865472,22,60.033,3000,4000,1.0,0.7597566135652677,14.034400024684146,66060288,63.0,604927,1183051,0.0,0,0.0,1500,2000,0.0,8,90.67040000809357,0,raw_view
120.23,view_aware,1766394192.0,0,0,0.0,0.0,0.0,0,1900.5500000203028,78.07749998755753,4.344799992395565,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6078464,23,60.115,3000,4000,2.0,0.6441097149613888,16.85939999879338,66060288,63.0,622821,1223775,0.0,0,0.0,1500,2000,0.0,8,99.44999997969717,0,raw_view
120.306,view_aware,1766394194.0,0,0,0.0,0.0,0.0,0,1906.3689000031445,76.11319998977706,4.458800016436726,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5853184,24,60.153,3000,4000,2.0,0.7537792848091738,12.890499987406656,66060288,63.0,629999,1269718,0.0,0,0.0,1500,2000,0.0,8,93.63109999685548,0,raw_view
120.25,view_aware,1766394196.0,0,0,0.0,0.0,0.0,0,1906.955599988578,74.29859999683686,5.11739999637939,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5734400,25,60.125,3000,4000,2.0,0.7775549409644243,13.43669998459518,66060288,63.0,642559,1317573,0.0,0,0.0,1500,2000,0.0,8,93.04440001142211,0,raw_view
120.221,view_aware,1766394197.0,0,0,0.0,0.0,0.0,0,897.682699986035,77.12790000368841,3.9527000044472516,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5935104,26,60.1105,3000,4000,1.0,0.6582852998019743,21.082199993543327,66060288,63.0,659376,1355794,0.0,0,0.0,1500,2000,0.0,8,102.317300013965,0,raw_view
120.191,view_aware,1766394199.0,0,0,0.0,0.0,0.0,0,1906.5068999771029,73.89010000042617,4.246099997544661,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5464064,27,60.0955,3000,4000,2.0,0.6602555653978306,15.197799977613613,66060288,63.0,671139,1386811,0.0,0,0.0,1500,2000,0.0,8,93.49310002289712,0,raw_view
120.217,view_aware,1766394201.0,0,0,0.0,0.0,0.0,0,1911.911200004397,73.1167999911122,4.094899981282651,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5439488,28,60.1085,3000,4000,2.0,0.784822972385735,10.71039997623302,66060288,63.0,675077,1423774,0.0,0,0.0,1500,2000,0.0,8,88.08879999560304,0,raw_view
120.176,view_aware,1766394202.0,0,0,0.0,0.0,0.0,0,909.5297000021674,75.79569998779334,4.209900012938306,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5468160,29,60.088,3000,4000,1.0,0.7370295140305391,10.294599982444197,66060288,63.0,680217,1460663,0.0,0,0.0,1500,2000,0.0,8,90.47029999783263,0,raw_view
120.112,view_aware,1766394204.0,0,0,0.0,0.0,0.0,0,1911.6096000070684,73.22029999340884,4.020199994556606,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5468160,30,60.056,3000,4000,2.0,0.706600388103619,10.981300001731142,66060288,63.0,686153,1497687,0.0,0,0.0,1500,2000,0.0,8,88.39039999293163,0,raw_view
120.132,view_aware,1766394206.0,0,0,0.0,0.0,0.0,0,1909.883099986473,74.95059998473153,4.328799986978993,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5578752,31,60.066,3000,4000,2.0,0.6888088405885585,10.673899989342317,66060288,63.0,692762,1534894,0.0,0,0.0,1500,2000,0.0,8,90.1169000135269,0,raw_view
120.176,view_aware,1766394207.0,0,0,0.0,0.0,0.0,0,915.1972999970894,69.96819999767467,4.604100016877055,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5591040,32,60.088,3000,4000,1.0,0.6946688527122237,10.068200004752725,66060288,63.0,699153,1572164,0.0,0,0.0,1500,2000,0.0,8,84.80270000291057,0,raw_view
120.266,view_aware,1766394209.0,0,0,0.0,0.0,0.0,0,1911.5454999846406,73.93760001286864,4.3150999990757555,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5541888,33,60.133,3000,4000,2.0,0.680227882706944,10.038899985374883,66060288,63.0,705969,1609367,0.0,0,0.0,1500,2000,0.0,8,88.45450001535937,0,raw_view
120.26,view_aware,1766394211.0,0,0,0.0,0.0,0.0,0,1910.539600008633,73.86139998561703,4.336799989687279,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5578752,34,60.13,3000,4000,2.0,0.6821575078913168,11.052000016206875,66060288,63.0,712690,1646395,0.0,0,0.0,1500,2000,0.0,8,89.46039999136701,0,raw_view
120.148,view_aware,1766394212.0,0,0,0.0,0.0,0.0,0,909.5823999959975,74.7996999998577,4.221499984851107,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5636096,35,60.074,3000,4000,1.0,0.6783687111003437,11.229499999899417,66060288,63.0,719592,1684053,0.0,0,0.0,1500,2000,0.0,8,90.41760000400245,0,raw_view
120.223,view_aware,1766394215.0,0,0,0.0,0.0,0.0,0,2909.499000001233,74.7984999907203,4.337999998824671,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5668864,36,60.1115,3000,4000,3.0,0.6079183178555336,11.203600006410852,66060288,63.0,728165,1721752,0.0,0,0.0,1500,2000,0.0,8,90.50099999876693,0,raw_view
120.28,view_aware,1766394216.0,0,0,0.0,0.0,0.0,0,907.8242999967188,76.865800016094,4.2529999918770045,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5689344,37,60.14,3000,4000,1.0,0.7635888951290964,10.88380001601763,66060288,63.0,733193,1758933,0.0,0,0.0,1500,2000,0.0,8,92.17570000328124,0,raw_view
