label,n_frames,avg_total_ms,p95_total_ms,avg_optimization_ms,avg_mapping_ms,throughput_fps,avg_raw_pose_error_m,avg_eval_pose_error_m,avg_correction_mag_m,max_correction_mag_m,seam_ssim,n_edges,avg_edge_residual_before_m,avg_edge_residual_after_m,memory_mb,optimizer_edge_count,optimizer_mean_edge_before_m,optimizer_mean_edge_after_m,sweep,sweep_value,drift
w_gps=1.0,241,128.71626721967024,144.7621999832336,27.606694605993688,16.431209543711194,7.769025792935529,1.5892215075312817,1.950703763841535,0.4104190633260038,3.3835303601383915,0.957820733388265,1333,4.1764663055122675,3.082274116392992,189.0,1333,4.2574693150429255,3.005671755090912,w_gps,1.0,bias_3m
w_gps=3.0,241,127.47683402484658,145.8361000113655,26.600614108465983,16.475081741829168,7.844562564246688,1.5892215075312817,1.7436004636952491,0.18726628628868938,1.7426828812614161,0.957358161608378,1333,4.1764663055122675,3.5329440015084166,189.0,1333,4.2574693150429255,3.4686769207689894,w_gps,3.0,bias_3m
w_gps=9.0,241,126.65874356716964,143.14510000986047,26.604404564293805,16.33419377545254,7.895230694986961,1.5892215075312817,1.6440384378966657,0.07295316636863923,0.77002266846435,0.9573620094193352,1333,4.1764663055122675,3.8803862442188017,189.0,1333,4.2574693150429255,3.865361816392382,w_gps,9.0,bias_3m
w_gps=27.0,241,126.72087178479579,142.47330001671799,26.629432366462424,16.341767219741563,7.891359851897593,1.5892215075312817,1.606846209257405,0.025910881233191158,0.28792151951276085,0.9569105638398064,1333,4.1764663055122675,4.062570552202582,189.0,1333,4.2574693150429255,4.099725218215231,w_gps,27.0,bias_3m
w_match=0.05,241,127.04558257222237,144.01109999744222,26.736510787845138,16.28651784194819,7.871190636884395,1.5892215075312817,1.599488260256091,0.015760260931456938,0.1770640360639972,0.9568955898284912,1333,4.1764663055122675,4.105911113483324,189.0,1333,4.2574693150429255,4.158790377090394,w_match,0.05,bias_3m
w_match=0.1,241,128.10637966654343,146.46049999282695,26.451098757044363,16.39818423318955,7.806012492141033,1.5892215075312817,1.6105715829291374,0.030885544208025844,0.34135025509243827,0.9570309387312995,1333,4.1764663055122675,4.041893714917644,189.0,1333,4.2574693150429255,4.071979663772153,w_match,0.1,bias_3m
w_match=0.25,241,127.57258589248582,146.5168000140693,26.610326142672495,16.275962656851725,7.838674688641717,1.5892215075312817,1.6440384378966657,0.07295316636863923,0.77002266846435,0.9573620094193352,1333,4.1764663055122675,3.8803862442188017,189.0,1333,4.2574693150429255,3.865361816392382,w_match,0.25,bias_3m
w_match=0.5,241,127.18579958505055,145.3312000085134,26.86843402450421,16.378135684852516,7.862512979141897,1.5892215075312817,1.6964041483064944,0.13425110596687323,1.3244389897586768,0.9571488234731886,1333,4.1764663055122675,3.680116206160314,189.0,1333,4.2574693150429255,3.6301772210754963,w_match,0.5,bias_3m
w_match=1.0,241,126.3158149374562,144.74459999473765,26.5797904562891,16.351385062601015,7.916665070760446,1.5892215075312817,1.7861676473788308,0.2340507489296825,2.069435921497938,0.9573412471347384,1333,4.1764663055122675,3.418979041661378,189.0,1333,4.2574693150429255,3.3484823713609404,w_match,1.0,bias_3m
nfeatures=200,241,117.33139377617262,133.61319998512045,17.016867634355325,16.66522738683188,8.522868158437214,0.0,0.055528937641585764,0.055528937641585764,0.6396690075245067,0.9564658072259691,1014,3.603323923512464,3.3788993440615394,189.0,1014,3.9133514551701385,3.574800659266787,nfeatures,200,clean
