altitude_m,arbitration_mode,capture_time_s,conflict_overrides,conflict_pixels,correction_mag_m,correction_x_m,correction_y_m,deadline_miss,deadline_slack_ms,decode_ms,downscale_ms,downscaled,drift_mag_m,drift_name,drift_x_m,drift_y_m,edge_residual_after_m,edge_residual_before_m,eval_pose_error_m,feature_type,feed_success,file_size_bytes,frame,gsd_proxy_m_px,img_h,img_w,inter_frame_interval_s,iou,mapping_ms,memory_bytes,memory_mb,new_pixels,nonconflict_replacements,optimization_ms,optimizer_edges,prep_ms,proc_h,proc_w,raw_pose_error_m,tile_count,total_ms,use_optimizer,variant
142.093,view_aware,1766396512.0,0,0,0.0,0.0,0.0,0,0.0,126.64040000527166,4.208099999232218,True,0.0,bias_3m,0.0,0.0,0.0,0.0,0.0,sift,1,6565888,0,71.0465,3000,4000,0.0,0.0,59.22250001458451,33030144,31.5,181098,0,183.98980001802556,0,1.1125000019092113,1500,2000,0.0,4,375.59790001250803,1,optimized_view_sift
142.156,view_aware,1766396514.0,0,0,0.008990593014361534,-0.008251421913711062,0.0035699858755764424,0,1673.51389999385,114.73510001087561,4.096500022569671,True,0.013243512562760682,bias_3m,0.0125,0.0043749999999999995,0.32366134851701767,0.3416425345457409,0.009009617989593346,sift,1,6606848,1,71.078,3000,4000,2.0,0.9523669731286994,21.679500001482666,33030144,31.5,185426,92318,183.85750000015832,1,1.6948000120464712,1500,2000,0.01324351256276069,4,326.4861000061501,1,optimized_view_sift
142.123,view_aware,1766396516.0,0,0,0.04809530178043526,-0.0055782393264474095,-0.04777071591852078,0,1639.7848000051454,114.66870000003837,4.080399987287819,True,0.026487025125521365,bias_3m,0.025,0.008749999999999999,0.6910512267327551,0.748667600220117,0.043586936786779606,sift,1,6615040,2,71.0615,3000,4000,2.0,0.8418633009819942,21.460300020407885,33030144,31.5,201010,174820,218.3190000068862,3,1.2621000059880316,1500,2000,0.026487025125521077,4,360.21519999485463,1,optimized_view_sift
142.206,view_aware,1766396518.0,0,0,0.0805360800814989,0.029532655258516033,-0.07492584646352185,0,1622.3389999940991,120.37670001154765,4.254400002537295,True,0.039730537688282046,bias_3m,0.037500000000000006,0.013124999999999998,0.8384621847242205,0.9315468999514288,0.09117412733124775,sift,1,6582272,3,71.103,3000,4000,2.0,0.7665030452036132,22.456400009104982,33030144,31.5,224737,253047,228.94220001762733,6,1.1463999981060624,1500,2000,0.0397305376882828,4,377.66100000590086,1,optimized_view_sift
142.203,view_aware,1766396520.0,0,0,0.23989978682150362,0.11215547083187766,-0.21206852213254734,0,1596.2935000134166,122.76470000506379,4.274000006262213,True,0.05297405025104273,bias_3m,0.05,0.017499999999999998,1.360430415706872,1.5479525838907775,0.25328108205223726,sift,1,6524928,4,71.1015,3000,4000,2.0,0.7193668051189376,21.45980001660064,33030144,31.5,254190,328809,253.43690000590868,10,1.3118000060785562,1500,2000,0.052974050251042154,4,403.70649998658337,1,optimized_view_sift
142.181,view_aware,1766396522.0,0,0,0.4714214202693072,0.21472930381982858,-0.4196778306865667,0,1501.8513999821153,110.96269998233765,4.120800003875047,True,0.06621756281380341,bias_3m,0.0625,0.021875,2.0207422992643136,2.353847330796832,0.4848743950743085,sift,1,6455296,5,71.0905,3000,4000,2.0,0.6947583901001996,21.232499973848462,33030144,31.5,286933,402807,360.0559000042267,15,1.2359000102151185,1500,2000,0.06621756281380153,4,498.14860001788475,1,optimized_view_sift
142.144,view_aware,1766396524.0,0,0,0.7730657648414297,0.344841736705362,-0.6918922267202419,0,1541.2330999970436,118.54759999550879,4.160999989835545,True,0.07946107537656409,bias_3m,0.07500000000000001,0.026249999999999996,2.735169631961895,3.265175380836761,0.7869858053820604,sift,1,6352896,6,71.072,3000,4000,2.0,0.6777301047122996,20.411500008776784,33030144,31.5,321237,476343,313.4681000083219,21,1.6237999952863902,1500,2000,0.07946107537656555,4,458.7669000029564,1,optimized_view_sift
142.201,view_aware,1766396526.0,0,0,0.5071168456630115,0.22795879513434614,-0.4529925858952879,0,1558.6105000111274,111.27729999134317,3.6109999928157777,True,0.09270458793932478,bias_3m,0.0875,0.030625,3.0610776797425,3.53045660646995,0.5271703984886085,sift,1,6324224,7,71.1005,3000,4000,2.0,0.6819803777456604,20.780599996214733,33030144,31.5,355253,549952,303.96739998832345,25,1.227899978403002,1500,2000,0.0927045879393203,4,441.38949998887256,1,optimized_view_sift
142.23,view_aware,1766396528.0,0,0,0.5476279010766313,0.2081389392555647,-0.5065318351329609,0,1549.707700003637,109.35139999492094,4.02249998296611,True,0.10594810050208546,bias_3m,0.1,0.034999999999999996,3.361402310469733,3.7654693827762844,0.5632866742870859,sift,1,6492160,8,71.115,3000,4000,2.0,0.6817303899381792,24.12049999111332,49545216,47.25,389517,623599,310.28520001564175,29,1.9401000172365457,1500,2000,0.10594810050208431,6,450.292299996363,1,optimized_view_sift
142.287,view_aware,1766396530.0,0,0,0.3604068377420223,0.11521569938284837,-0.3414944088955565,0,1558.22080001235,111.46169999847189,5.070800019893795,True,0.11919161306484613,bias_3m,0.11249999999999999,0.039375,3.487715611263665,3.8127162243010377,0.3783260194287675,sift,1,6692864,9,71.1435,3000,4000,2.0,0.6838289618138542,22.427799995057285,49545216,47.25,423221,697541,300.97290000412613,32,1.213000010466203,1500,2000,0.11919161306484843,6,441.7791999876499,1,optimized_view_sift
142.197,view_aware,1766396532.0,0,0,0.0,0.0,0.0,0,1540.5698000104167,109.92620000615716,3.5801999911200255,True,0.13243512562760681,bias_3m,0.125,0.04375,3.612190584141872,3.8766494699632137,0.13243512562760307,sift,1,6656000,10,71.0985,3000,4000,2.0,0.6850765205371248,23.957900004461408,49545216,47.25,456766,771749,320.3421999933198,35,1.0051999997813255,1500,2000,0.13243512562760307,6,459.43019998958334,1,optimized_view_sift
142.206,view_aware,1766396534.0,0,0,0.0,0.0,0.0,0,1524.7312000137754,114.6563999936916,4.339100007200614,True,0.1456786381903675,bias_3m,0.13749999999999998,0.048125,3.645864559077851,3.86747987655232,0.1456786381903765,sift,1,6615040,11,71.103,3000,4000,2.0,0.6791033887666724,22.014800022589043,49545216,47.25,491159,845045,332.53819998935796,38,1.0557999776210636,1500,2000,0.1456786381903765,6,475.2687999862246,1,optimized_view_sift
142.138,view_aware,1766396536.0,0,0,0.0,0.0,0.0,0,1555.4158999875654,107.56750000291504,4.054599994560704,True,0.15892215075312818,bias_3m,0.15000000000000002,0.05249999999999999,3.6937062368064026,3.890324251930355,0.1589221507531311,sift,1,6332416,12,71.069,3000,4000,2.0,0.6842750395473389,27.076800004579127,49545216,47.25,524830,918624,303.81469998974353,41,1.3904999941587448,1500,2000,0.1589221507531311,6,444.58410001243465,1,optimized_view_sift
142.176,view_aware,1766396538.0,0,0,0.0,0.0,0.0,0,1572.241199988639,109.62780000409111,3.880899981595576,True,0.17216566331588887,bias_3m,0.1625,0.056875,3.6879741436157856,3.871186384981286,0.17216566331588595,sift,1,6152192,13,71.088,3000,4000,2.0,0.6792181098832275,22.148899995954707,49545216,47.25,559470,991798,290.05889999098144,44,1.365000003715977,1500,2000,0.17216566331588595,6,427.758800011361,1,optimized_view_sift
142.204,view_aware,1766396540.0,0,0,0.34138625719825255,0.1690174875255881,-0.29661029232710234,0,1490.635000023758,110.37169999326579,6.139100005384535,True,0.18540917587864955,bias_3m,0.175,0.06125,3.701358810353606,3.8993576177521865,0.4168243022278453,sift,1,6086656,14,71.102,3000,4000,2.0,0.6831429543660492,23.52200000314042,49545216,47.25,593443,1065779,366.9766999955755,47,1.5224000089801848,1500,2000,0.1854091758786406,6,509.36499997624196,1,optimized_view_sift
142.189,view_aware,1766396542.0,0,0,0.0,0.0,0.0,0,1498.7586000061128,140.69369999924675,7.710100006079301,True,0.1986526884414102,bias_3m,0.1875,0.06562499999999999,3.768233883971243,3.9395928600593066,0.19865268844141398,sift,1,5992448,15,71.0945,3000,4000,2.0,0.6844153160246719,23.07029999792576,49545216,47.25,627097,1139624,327.43550001760013,50,1.6131000011228025,1500,2000,0.19865268844141398,6,501.24139999388717,1,optimized_view_sift
142.2,view_aware,1766396544.0,0,0,0.0,0.0,0.0,0,1566.3232000079006,115.20880000898615,4.471599997486919,True,0.21189620100417092,bias_3m,0.2,0.06999999999999999,3.827708885070446,3.972692222479785,0.21189620100416862,sift,1,5918720,16,71.1,3000,4000,2.0,0.6788553607266077,20.846700004767627,49545216,47.25,661770,1212898,290.6226000050083,54,1.756999990902841,1500,2000,0.21189620100416862,6,433.6767999920994,1,optimized_view_sift
