altitude_m,arbitration_mode,capture_time_s,conflict_overrides,conflict_pixels,correction_mag_m,correction_x_m,correction_y_m,deadline_miss,deadline_slack_ms,decode_ms,downscale_ms,downscaled,drift_mag_m,drift_name,drift_x_m,drift_y_m,edge_residual_after_m,edge_residual_before_m,eval_pose_error_m,feature_type,feed_success,file_size_bytes,frame,gsd_proxy_m_px,img_h,img_w,inter_frame_interval_s,iou,mapping_ms,memory_bytes,memory_mb,new_pixels,nonconflict_replacements,optimization_ms,optimizer_edges,prep_ms,proc_h,proc_w,raw_pose_error_m,tile_count,total_ms,use_optimizer,variant
142.093,basic,1766396512.0,0,0,0.0,0.0,0.0,0,0.0,132.30040000053123,17.551800003275275,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6565888,0,71.0465,3000,4000,0.0,0.0,88.37730000959709,33030144,31.5,181098,0,0.0,0,0.0,1500,2000,0.0,4,238.4738999826368,0,raw_basic
142.156,basic,1766396514.0,0,0,0.0,0.0,0.0,0,1843.3576000097673,116.18610000004992,5.671000020811334,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6606848,1,71.078,3000,4000,2.0,0.9523671198657019,34.54819999751635,33030144,31.5,185426,92318,0.0,0,0.0,1500,2000,0.0,4,156.64239999023266,0,raw_basic
142.123,basic,1766396516.0,0,0,0.0,0.0,0.0,0,1858.9137000089977,114.95070002274588,5.304000020259991,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6615040,2,71.0615,3000,4000,2.0,0.8422541034551714,20.624400000087917,33030144,31.5,201010,174820,0.0,0,0.0,1500,2000,0.0,4,141.0862999910023,0,raw_basic
142.206,basic,1766396518.0,0,0,0.0,0.0,0.0,0,1854.3113000050653,119.26649999804795,5.649500002618879,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6582272,3,71.103,3000,4000,2.0,0.7664071288168861,20.532700000330806,33030144,31.5,224737,253047,0.0,0,0.0,1500,2000,0.0,4,145.68869999493472,0,raw_basic
142.203,basic,1766396520.0,0,0,0.0,0.0,0.0,0,1861.6336999984924,111.72529999748804,5.575599992880598,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6524928,4,71.1015,3000,4000,2.0,0.7203401262601367,20.829100016271695,33030144,31.5,254190,328809,0.0,0,0.0,1500,2000,0.0,4,138.36630000150762,0,raw_basic
142.181,basic,1766396522.0,0,0,0.0,0.0,0.0,0,1862.1290999872144,112.35640000086278,5.627899983664975,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6455296,5,71.0905,3000,4000,2.0,0.6962178549745137,19.67120001791045,33030144,31.5,286285,403146,0.0,0,0.0,1500,2000,0.0,4,137.87090001278557,0,raw_basic
142.144,basic,1766396524.0,0,0,0.0,0.0,0.0,0,1864.8413000046276,108.22500000358559,5.9114999894518405,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6352896,6,71.072,3000,4000,2.0,0.6794339119903506,20.802099985303357,33030144,31.5,320292,476583,0.0,0,0.0,1500,2000,0.0,4,135.15869999537244,0,raw_basic
142.201,basic,1766396526.0,0,0,0.0,0.0,0.0,0,1865.7676000148058,108.01490000449121,5.741400003898889,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6324224,7,71.1005,3000,4000,2.0,0.6802761381558053,20.25919998413883,33030144,31.5,354772,550201,0.0,0,0.0,1500,2000,0.0,4,134.2323999851942,0,raw_basic
142.23,basic,1766396528.0,0,0,0.0,0.0,0.0,0,1856.928399996832,112.24889999721199,6.623699999181554,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6492160,8,71.115,3000,4000,2.0,0.682092419921667,23.988200002349913,49545216,47.25,389034,623984,0.0,0,0.0,1500,2000,0.0,6,143.071600003168,0,raw_basic
142.287,basic,1766396530.0,0,0,0.0,0.0,0.0,0,1845.7381000043824,123.30829998245463,5.860100005520508,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6692864,9,71.1435,3000,4000,2.0,0.6821264611020602,24.883300007786602,49545216,47.25,423115,698317,0.0,0,0.0,1500,2000,0.0,6,154.26189999561757,0,raw_basic
142.197,basic,1766396532.0,0,0,0.0,0.0,0.0,0,1841.3020999869332,128.5537000221666,7.197099999757484,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6656000,10,71.0985,3000,4000,2.0,0.6826549426102871,22.68210001057014,49545216,47.25,457144,772304,0.0,0,0.0,1500,2000,0.0,6,158.69790001306683,0,raw_basic
142.206,basic,1766396534.0,0,0,0.0,0.0,0.0,0,1853.5382999980357,117.49560001771897,6.934700009878725,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6615040,11,71.103,3000,4000,2.0,0.6791033887666724,21.795000007841736,49545216,47.25,491567,845667,0.0,0,0.0,1500,2000,0.0,6,146.46170000196435,0,raw_basic
142.138,basic,1766396536.0,0,0,0.0,0.0,0.0,0,1858.2680000108667,114.92910000379197,5.048099992563948,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6332416,12,71.069,3000,4000,2.0,0.6842750395473389,21.53810000163503,49545216,47.25,524960,919090,0.0,0,0.0,1500,2000,0.0,6,141.73199998913333,0,raw_basic
142.176,basic,1766396538.0,0,0,0.0,0.0,0.0,0,1867.079299991019,108.03929998655804,4.1711000085342675,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6152192,13,71.088,3000,4000,2.0,0.6792181098832275,20.486900000832975,49545216,47.25,559506,992310,0.0,0,0.0,1500,2000,0.0,6,132.92070000898093,0,raw_basic
142.204,basic,1766396540.0,0,0,0.0,0.0,0.0,0,1873.6544999992475,102.7849999954924,3.553200018359348,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,6086656,14,71.102,3000,4000,2.0,0.6847751262471888,19.78850000887178,49545216,47.25,593114,1066004,0.0,0,0.0,1500,2000,0.0,6,126.34550000075251,0,raw_basic
142.189,basic,1766396542.0,0,0,0.0,0.0,0.0,0,1872.4648999923375,104.04619999462739,3.2227000046987087,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,none,1,5992448,15,71.0945,3000,4000,2.0,0.6825230291716402,20.043999975314364,49545216,47.25,627191,1139294,0.0,0,0.0,1500,2000,0.0,6,127.53510000766255,0,raw_basic
