altitude_m,arbitration_mode,capture_time_s,conflict_overrides,conflict_pixels,correction_mag_m,correction_x_m,correction_y_m,deadline_miss,deadline_slack_ms,decode_ms,downscale_ms,downscaled,drift_mag_m,drift_name,drift_x_m,drift_y_m,edge_residual_after_m,edge_residual_before_m,eval_pose_error_m,feature_type,feed_success,file_size_bytes,frame,gsd_proxy_m_px,img_h,img_w,inter_frame_interval_s,iou,mapping_ms,memory_bytes,memory_mb,new_pixels,nonconflict_replacements,optimization_ms,optimizer_edges,prep_ms,proc_h,proc_w,raw_pose_error_m,tile_count,total_ms,use_optimizer,variant
120.143,view_aware,1766394153.0,0,0,0.0,0.0,0.0,0,0.0,100.39669999969192,4.2941000137943774,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,orb,1,5578752,0,60.0715,3000,4000,0.0,0.0,55.50950000179,33030144,31.5,130178,0,17.668799991952255,0,0.9772999910637736,1500,2000,0.0,4,179.17680001119152,1,optimized_view_orb
120.146,view_aware,1766394155.0,0,0,0.010025276520411264,-0.001813051990745787,-0.009859970171839372,0,1850.588000001153,101.04090001550503,5.555500014452264,True,0.0,clean,0.0,0.0,0.3609099547348063,0.3809605077756289,0.010025276520411264,orb,1,5595136,1,60.073,3000,4000,2.0,0.9638311453443759,16.782999999122694,33030144,31.5,132488,60260,24.214300006860867,1,1.2704999826382846,1500,2000,0.0,4,149.41199999884702,1,optimized_view_orb
120.128,view_aware,1766394157.0,0,0,0.08997421142836445,0.015147674025050989,-0.08868994697138355,0,1855.1121999917086,99.22460000962019,3.9021999982651323,True,0.0,clean,0.0,0.0,1.1981627271123738,1.2970869513360308,0.08997421142836445,orb,1,5582848,2,60.064,3000,4000,2.0,0.865977379087992,15.82059997599572,33030144,31.5,141532,120471,24.02720000827685,3,1.4999999839346856,1500,2000,0.0,4,144.88780000829138,1,optimized_view_orb
120.083,view_aware,1766394158.0,0,0,0.18271830924303964,0.03867146268756777,-0.17857910993797432,0,853.2772999897134,100.10539999348111,3.884999983711168,True,0.0,clean,0.0,0.0,1.6891554193682996,1.8669402276038882,0.18271830924303964,orb,1,5619712,3,60.0415,3000,4000,1.0,0.7900621652228343,14.632100006565452,33030144,31.5,156526,177507,26.049000007333234,6,1.2826000165659934,1500,2000,0.0,4,146.72270001028664,1,optimized_view_orb
120.158,view_aware,1766394160.0,0,0,0.2780519782693844,0.08743905839944222,-0.26394566426773736,0,1857.1324000076856,97.42999999434687,3.7348000041674823,True,0.0,clean,0.0,0.0,2.0005407557651056,2.260877130351966,0.2780519782693844,orb,1,5636096,4,60.079,3000,4000,2.0,0.7395437418569349,13.659899996127933,33030144,31.5,176205,232339,26.3163999770768,10,1.1900000099558383,1500,2000,0.0,4,142.86759999231435,1,optimized_view_orb
120.158,view_aware,1766394162.0,0,0,0.25874450560413303,0.09186552364025868,-0.24188725627165297,0,1855.8851999987382,98.68659998755902,3.2272000098600984,True,0.0,clean,0.0,0.0,2.282532143675743,2.504585109528259,0.25874450560413303,orb,1,5713920,5,60.079,3000,4000,2.0,0.7084984603730176,14.290599996456876,33030144,31.5,197984,285766,26.220500003546476,13,1.2042000016663224,1500,2000,0.0,4,144.11480000126176,1,optimized_view_orb
120.167,view_aware,1766394163.0,0,0,0.33389401095122445,0.11288680359369763,-0.31423204821197714,0,856.3071000098716,97.45219998876564,3.497900004731491,True,0.0,clean,0.0,0.0,2.644779351340841,2.835379534376483,0.33389401095122445,orb,1,5566464,6,60.0835,3000,4000,1.0,0.6905651998945367,13.722100004088134,33030144,31.5,221480,338578,27.285799995297566,16,1.229999994393438,1500,2000,0.0,4,143.69289999012835,1,optimized_view_orb
120.126,view_aware,1766394165.0,0,0,0.35719906773260124,0.12612086521210442,-0.33419261114990206,0,1846.6331000090577,98.41060001053847,3.581500001018867,True,0.0,clean,0.0,0.0,2.940871995520617,3.105104531047395,0.35719906773260124,orb,1,5476352,7,60.063,3000,4000,2.0,0.6778514035684112,15.355799987446517,33030144,31.5,246621,390709,34.22090000822209,19,1.28749999566935,1500,2000,0.0,4,153.36689999094233,1,optimized_view_orb
120.174,view_aware,1766394167.0,0,0,0.38044391966678376,0.12615087248605472,-0.35891995400427845,0,1850.3365000069607,98.93070001271553,3.3973000245168805,True,0.0,clean,0.0,0.0,3.19046600321235,3.3408140004609366,0.38044391966678376,orb,1,5521408,8,60.087,3000,4000,2.0,0.67973317736608,14.07670002663508,33030144,31.5,271062,442979,31.451900023967028,22,1.097600004868582,1500,2000,0.0,4,149.6634999930393,1,optimized_view_orb
120.393,view_aware,1766394168.0,0,0,0.36256991575489284,0.1445535109809133,-0.3325074830339929,0,848.2498999801464,103.29600001568906,3.2654999813530594,True,0.0,clean,0.0,0.0,3.3530571202974375,3.4867664794178084,0.36256991575489284,orb,1,5709824,9,60.1965,3000,4000,1.0,0.6811743915859878,14.775300020119175,33030144,31.5,295861,496039,28.122899995651096,25,1.6849999956320971,1500,2000,0.0,4,151.75010001985356,1,optimized_view_orb
