altitude_m,arbitration_mode,capture_time_s,conflict_overrides,conflict_pixels,correction_mag_m,correction_x_m,correction_y_m,deadline_miss,deadline_slack_ms,decode_ms,downscale_ms,downscaled,drift_mag_m,drift_name,drift_x_m,drift_y_m,edge_residual_after_m,edge_residual_before_m,eval_pose_error_m,feature_type,feed_success,file_size_bytes,frame,gsd_proxy_m_px,img_h,img_w,inter_frame_interval_s,iou,mapping_ms,memory_bytes,memory_mb,new_pixels,nonconflict_replacements,optimization_ms,optimizer_edges,prep_ms,proc_h,proc_w,raw_pose_error_m,tile_count,total_ms,use_optimizer,variant
120.143,view_aware,1766394153.0,0,0,0.0,0.0,0.0,0,0.0,102.18159999931231,5.1238000160083175,True,0.0,clean,0.0,0.0,0.0,0.0,0.0,sift,1,5578752,0,60.0715,3000,4000,0.0,0.0,56.60640000132844,33030144,31.5,130178,0,154.38069999800064,0,1.0332000092603266,1500,2000,0.0,4,319.7100999823306,1,optimized_view_sift
120.146,view_aware,1766394155.0,0,0,0.009197189649173635,-0.002226607839129216,-0.008923593164952948,0,1698.19739999366,101.84889999800362,3.7760999985039234,True,0.0,clean,0.0,0.0,0.33109882737025287,0.34949320666860023,0.009197189649173635,sift,1,5595136,1,60.073,3000,4000,2.0,0.9638311453443759,15.408499981276691,33030144,31.5,132488,60260,179.10750000737607,1,1.2543000048026443,1500,2000,0.0,4,301.80260000634007,1,optimized_view_sift
120.128,view_aware,1766394157.0,0,0,0.09067526237990803,0.011169659609860466,-0.08998467598355298,0,1675.6521000061184,101.49400000227615,4.4194999791216105,True,0.0,clean,0.0,0.0,1.1962558957790999,1.2962069184308584,0.09067526237990803,sift,1,5582848,2,60.064,3000,4000,2.0,0.8657535054536514,16.283200006000698,33030144,31.5,141532,120471,200.36610000533983,3,1.369300007354468,1500,2000,0.0,4,324.3478999938816,1,optimized_view_sift
120.083,view_aware,1766394158.0,0,0,0.18455628215061315,0.03527103148318084,-0.18115456278926345,0,638.3688999922015,102.45709997252561,5.14409999595955,True,0.0,clean,0.0,0.0,1.696752087033149,1.8787174594315423,0.18455628215061315,sift,1,5619712,3,60.0415,3000,4000,1.0,0.7900621652228343,16.171199997188523,33030144,31.5,156526,177507,236.1232999828644,6,1.299499999731779,1500,2000,0.0,4,361.6311000077985,1,optimized_view_sift
120.158,view_aware,1766394160.0,0,0,0.2896761360378234,0.08150281194318665,-0.2779740193528113,0,1615.8681999950204,103.20270000374876,4.1634000081103295,True,0.0,clean,0.0,0.0,2.0448694287880658,2.3156281095537268,0.2896761360378234,sift,1,5636096,4,60.079,3000,4000,2.0,0.7395437418569349,15.196499996818602,33030144,31.5,176205,232339,259.12450000760145,10,1.9296999962534755,1500,2000,0.0,4,384.1318000049796,1,optimized_view_sift
120.158,view_aware,1766394162.0,0,0,0.4857969959591453,0.16649631421223743,-0.4563745157616381,0,1597.769399988465,103.1039000081364,3.232999995816499,True,0.0,clean,0.0,0.0,2.5080252811842074,2.904560121488541,0.4857969959591453,sift,1,5713920,5,60.079,3000,4000,2.0,0.7070197385249894,15.018400008557364,33030144,31.5,198527,285541,279.03609999339096,15,1.3547000125981867,1500,2000,0.0,4,402.230600011535,1,optimized_view_sift
120.167,view_aware,1766394163.0,0,0,0.8431835642404194,0.2577268463487885,-0.8028296180861076,0,564.8781000054441,98.33069998421706,3.8835000013932586,True,0.0,clean,0.0,0.0,3.201559555130655,3.8022203597431004,0.8431835642404194,sift,1,5566464,6,60.0835,3000,4000,1.0,0.6887567771749772,15.626599983079359,33030144,31.5,222115,338324,315.36350000533275,21,1.3187000004108995,1500,2000,0.0,4,435.12189999455586,1,optimized_view_sift
120.126,view_aware,1766394165.0,0,0,0.5843339659380291,0.20599641277900393,-0.5468195878633537,0,1569.95000000461,98.40009998879395,4.571800003759563,True,0.0,clean,0.0,0.0,3.5739277004560046,4.099118261687849,0.5843339659380291,sift,1,5476352,7,60.063,3000,4000,2.0,0.6798138779158299,15.192699996987358,33030144,31.5,246428,391098,310.12209999607876,25,1.1905999854207039,1500,2000,0.0,4,430.04999999538995,1,optimized_view_sift
120.174,view_aware,1766394167.0,0,0,0.6265018489681234,0.21359329909902436,-0.5889672905522616,0,1577.1824999828823,97.28849999373779,3.109600016614422,True,0.0,clean,0.0,0.0,3.9089377227538997,4.362477179537323,0.6265018489681234,sift,1,5521408,8,60.087,3000,4000,2.0,0.6793112658557222,15.576899982988834,33030144,31.5,271088,443109,304.96239999774843,29,1.213300012750551,1500,2000,0.0,4,422.8175000171177,1,optimized_view_sift
120.393,view_aware,1766394168.0,0,0,0.6269259098997562,0.2358823000361263,-0.5808576736458804,0,579.3335999769624,99.96160000446253,4.208900005323812,True,0.0,clean,0.0,0.0,4.167258515360673,4.553452378992078,0.6269259098997562,sift,1,5709824,9,60.1965,3000,4000,1.0,0.6811743915859878,12.790399981895462,33030144,31.5,295877,495833,301.82849999982864,33,1.2355000071693212,1500,2000,0.0,4,420.66640002303757,1,optimized_view_sift
120.304,view_aware,1766394170.0,0,0,0.0,0.0,0.0,0,1570.636899996316,99.73539999919012,3.1066999945323914,True,0.0,clean,0.0,0.0,4.461968147435616,4.750919463027837,0.0,sift,1,5844992,10,60.152,3000,4000,2.0,0.6854703978731365,19.74990000599064,49545216,47.25,320016,548676,304.8338000080548,37,1.332900021225214,1500,2000,0.0,6,429.36310000368394,1,optimized_view_sift
120.105,view_aware,1766394172.0,0,0,0.0,0.0,0.0,0,1562.5601999927312,104.82340000453405,4.150799999479204,True,0.0,clean,0.0,0.0,4.541391470873357,4.779070820473878,0.0,sift,1,5926912,11,60.0525,3000,4000,2.0,0.6812938935799916,16.36730000609532,49545216,47.25,344094,601376,310.0829999893904,40,1.3695000088773668,1500,2000,0.0,6,437.4398000072688,1,optimized_view_sift
120.158,view_aware,1766394174.0,0,0,0.0,0.0,0.0,0,1561.5079999843147,106.58259998308495,3.6026999878231436,True,0.0,clean,0.0,0.0,4.678052228634221,4.884572058349111,0.0,sift,1,6057984,12,60.079,3000,4000,2.0,0.6942542867669391,15.11840001330711,49545216,47.25,367560,655012,310.8648999768775,43,1.6490000125486404,1500,2000,0.0,6,438.49200001568533,1,optimized_view_sift
120.162,view_aware,1766394175.0,0,0,0.0,0.0,0.0,0,556.1922999913804,106.4215999795124,3.817100019659847,True,0.0,clean,0.0,0.0,4.787034396323372,4.980085541491638,0.0,sift,1,5951488,13,60.081,3000,4000,1.0,0.6827895192423559,16.2828000029549,49545216,47.25,391529,707670,315.4588000033982,46,1.0852999985218048,1500,2000,0.0,6,443.8077000086196,1,optimized_view_sift
